mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,label
-367.02008,43.958675,-26.504309,26.720621,-17.721006,18.633678,-10.652032,14.830117,-11.798079,12.644734,-22.389812,13.067722,-2.9227538,0.016420463,0.22866962139423078,3095.311826341311,1
-335.1996,53.3833,-23.542908,32.8994,-26.97563,7.39821,-6.1291523,19.10281,-5.2042723,16.979498,-29.454262,7.3531547,-7.8231306,0.01717778,0.22892503004807693,3268.205463882956,1
-349.07706,50.96986,-23.642866,29.392347,-16.749222,24.873783,-6.4934087,14.610174,-9.737254,14.677395,-23.964966,12.938137,-3.3327763,0.017464494,0.2295447716346154,3221.989920283251,1
-315.80417,42.68133,-24.066256,31.15927,-18.414433,22.065912,-8.871117,15.099189,-7.995333,15.054349,-23.959026,11.497479,-4.3924356,0.020740697,0.25211087740384613,3406.272354048575,1
-366.4486,41.561615,-22.984957,31.493643,-19.495346,20.216286,-12.070145,12.459446,-12.169447,14.7197075,-24.731817,12.85049,-3.5850046,0.016742876,0.24165790264423076,3242.597879933718,1
-320.6454,44.282436,-23.530201,37.44317,-19.156311,22.368204,-7.8752713,15.628127,-10.853003,14.886553,-26.027042,11.229337,-4.299767,0.019580962,0.23814978966346154,3362.622281358863,1
-329.08148,63.928658,-14.7437315,38.527756,-17.861326,22.110561,-4.9844875,17.634455,-13.506402,15.4847,-24.318113,11.106758,-4.821023,0.017647576,0.19979717548076922,3086.41543768521,1
-322.57208,42.248913,-23.628557,39.693367,-17.530321,23.509611,-9.746271,14.098129,-12.735406,17.487158,-26.778177,11.234561,-2.9034357,0.019015914,0.2633451021634615,3503.706447762501,1
-353.5869,39.245403,-23.125162,36.236702,-13.127663,20.9408,-13.204528,11.268741,-9.069099,16.434292,-23.108263,10.126684,-6.758262,0.01821193,0.23062650240384616,3239.6510429505965,1
-324.59592,52.111908,-18.132103,32.514603,-13.398645,20.644535,-7.0572276,12.943066,-9.891384,13.771486,-21.744722,10.42593,-5.525646,0.019130208,0.23804837740384616,3247.7552232159696,1
-328.83707,47.46069,-24.025787,34.056145,-20.679504,22.621338,-7.2627497,16.306084,-10.761629,15.80404,-25.977497,12.879584,-4.498052,0.01793618,0.2508413461538462,3405.064313468616,1
-357.9336,44.598175,-22.209738,29.236502,-17.621027,20.962297,-7.9349213,13.390806,-11.238738,14.337817,-23.152538,12.300164,-4.1436677,0.018007476,0.23062274639423078,3140.2556721961055,1
-390.77444,28.930141,-24.481594,29.612673,-19.56667,15.94351,-7.2660604,12.795673,-10.783506,11.025729,-22.866327,11.495878,-3.389229,0.016977537,0.2206317608173077,3002.048816986633,1
-293.20895,39.508953,-26.405514,27.653242,-26.052631,22.428993,-5.571297,22.419739,-13.483578,17.217607,-25.092382,10.230551,-4.8364854,0.020458773,0.2767164963942308,3672.6281337774094,1
-300.11838,46.294346,-23.467682,29.326246,-23.737175,18.889578,-4.9351516,16.369503,-10.320746,16.443005,-22.891155,10.624141,-4.3104205,0.021795021,0.2585261418269231,3415.5386550395715,1
-349.17743,54.802395,-25.689299,30.89193,-19.0696,22.757574,-8.751936,14.35016,-11.110716,16.744148,-24.1148,10.976742,-2.8577702,0.016229631,0.21944861778846153,3206.83911124017,1
-347.01532,48.565006,-21.38148,30.585724,-20.323862,22.305838,-7.5999417,16.823112,-11.372756,15.726946,-22.374054,12.026908,-4.049969,0.016608143,0.24373873197115384,3322.820752479369,1
-329.55933,52.823975,-21.849651,27.938515,-24.003233,22.016869,-4.524616,16.327776,-10.916659,15.969647,-24.617683,10.317717,-5.0799127,0.016939046,0.23006685697115384,3339.5434618245245,1
-323.77603,58.13785,-15.955522,26.69332,-17.148283,18.986523,-6.0695887,14.660019,-9.654874,14.168204,-22.600159,9.710499,-3.4330976,0.0188534,0.22610426682692308,3187.1259726169965,1
-288.73703,40.04465,-25.456818,32.292606,-23.117085,23.05678,-6.124463,21.318193,-10.360536,18.182102,-25.254894,13.108633,-5.4070473,0.021682171,0.25931865985576924,3632.2770021594774,1
-311.2986,55.1946,-20.538273,32.353287,-18.33324,26.496225,-2.46729,20.378561,-12.412933,17.20892,-23.317392,11.56715,-5.042,0.019540798,0.222705078125,3272.2898282415563,1
-350.06433,61.929134,-17.453865,29.575249,-19.67513,20.939451,-4.429505,20.516924,-9.866837,16.731127,-21.473995,10.415606,-3.9115224,0.016566208,0.1966834435096154,2968.508428362252,1
-306.14377,44.66574,-27.24912,30.257666,-23.329777,23.488993,-4.547328,19.328188,-12.663945,15.113475,-25.01753,13.195177,-5.5662947,0.019805422,0.25707256610576923,3480.656245196255,1
